,variance
DSCAM-AS1,249749.31743059063
MT-ND4L,248075.45605785144
SNRNP200,247118.85423701024
CLK3,246461.3285716237
RPL3,246077.04918458578
TGIF1,246059.82390332597
CERS2,245929.9677115087
HSPA9,245738.2506117316
PPIA,245587.81538692865
NHP2,243891.7979440352
PFKFB4,242589.40959359182
PTP4A1,240509.5064590654
AKT1,239108.59591541035
TUFT1,237302.60310581938
ERO1A,235494.85624649693
RPS5,232786.96139597832
IER2,232644.64526403567
TFRC,231721.94331059547
COX4I1,229058.03867237177
EMP2,227946.73983295317
PEBP1,227921.04818667704
RMND5B,227309.65692452804
YWHAZ,225677.48909819147
XPOT,222758.03912348082
TFF3,221386.06617637016
IGFBP2,219306.51297964546
PRPF8,218107.66720435244
ILVBL,216833.1358795948
SLC25A6,215235.95111615394
LMCD1,214355.1368501637
CLIC1,213288.1242601122
BCAP31,213017.97464218808
RPN2,212938.67099093672
ENO2,212803.30053449652
CCT7,210154.33801757966
SF3B3,208476.95185433282
EEF1A2,207691.4909573083
ISG15,207372.26012603717
DDR1,206839.74638087282
FAM162A,205775.5925799353
FLNB,205296.17304826857
CDC20,204960.76886798957
PHLDA3,204805.00604213096
TSC22D2,204137.46054160444
DKK1,203079.74275832853
CLU,202143.44709034468
CCT5,201936.5305045588
AGR2,201780.20838516502
PSMC3,200246.29944089768
ARF1,200155.16808606606
FBP1,197363.70441403615
BMP7,196809.42125408413
CRABP2,196720.888781048
MBTPS1,196364.58795948233
COPG1,196355.28962585283
KIF22,195223.62050770334
HMGN2,195081.3242929204
TRIM37,192772.3498011018
CLDN3,192586.9250064932
NECTIN2,191119.63301573388
NEAT1,190720.80517545412
TMED10,189789.87691550588
FOXA1,189174.46885295204
SYNGR2,188790.50282285069
EEF1G,187656.30798463512
MARS1,185500.26250461364
TXN,185428.40608040683
PPP4C,184433.73510313986
PDIA4,183313.9786885021
CCNB1,183049.23949803837
ARPC1B,182408.32229710356
NEDD9,181799.68546744506
MCM2,181358.68211829994
DNM2,181130.54666247452
TOB1,180191.97263270133
PRPF6,179468.78338550706
PMEPA1,179363.26663294728
THBS1,179300.84473637433
ECH1,178786.1235766135
SNRPD2,178066.6025453501
PTMA,177099.21751671174
PHLDA1-AS1,174419.65119680687
PRMT1,173799.2377892909
FAU,173342.54411985827
SPTSSB,170935.39327163613
PRDX1,170914.33792188973
ATP5F1A,170719.16721118748
TAGLN2,169459.20525474014
CEACAM6,168780.69332768238
C19orf48,167725.87296488188
CANX,166055.2399901576
SMARCD2,166011.96054843956
DHCR24,165649.72580755383
ESYT1,165581.7272292318
FKBP4,165389.53922600593
TLE1,163741.51977362513
HNRNPC,163477.74036608214
MAGED2,163329.1051221413
IARS1,159260.57967547484
PRSS23,158358.01531037694
DDOST,157291.7117001352
CTTN,157097.89844572332
PFDN4,157077.21266386885
PPP1R15A,156892.18048473736
ADRM1,155849.92089182962
STIP1,155763.30772490523
CCT3,155682.26294205314
CALM2,155672.4776837587
AMIGO2,154407.79049389611
H2BC21,154395.94817710825
NRBP1,154058.22105723617
MYL6B,153622.7802414118
GHITM,152281.67691003782
PTPRF,151634.9654149524
PDIA6,151355.38571213768
COX6A1,150218.00501688247
TUFM,149369.33912484793
RBCK1,148229.1773269721
SAT1,146477.4446570886
PIM3,145972.22753680655
PPIB,145847.51269257584
UCP2,145218.87855590327
PSMB6,143708.80748568085
HK1,141407.98013752003
QSOX1,139513.4784219376
CNBP,139490.09566251573
ATP5F1E,139350.14008994846
TXNDC5,137837.52000601465
IRF2BP2,137107.12687107836
COPS6,135335.10465736192
BNIP3L,134562.0534496193
RPL10,134211.63398630288
DDX39A,133778.48706136463
PRC1,133038.43355706581
RPN1,132863.42028351547
RPL15,132757.9120883628
BLOC1S5-TXNDC5,132338.60105532254
APRT,132296.63718507774
DUSP4,130779.28670047727
MCM3,130564.57836315672
PIGT,129864.35245307787
DDB1,128713.27517668434
ILF2,126601.94564816213
CYBA,126313.87933509205
BCL6,125926.90133008921
HOOK2,123547.41275135674
CHPF,123450.75708446674
HNRNPF,123060.09380339835
SRSF5,122082.42204694272
PARD6B,121564.83570051816
IER5L,121327.61841619619
RPL7,120218.3631019916
TSC22D3,120151.41411835456
DNPEP,119837.0490478859
ITGA5,119251.3533826365
PRKAR1A,118628.41949065667
MARCKSL1,118072.69494074068
SURF4,117478.30136836504
JUN,117396.69541919006
RPS6,116738.28668680709
TSPAN15,116666.46047325473
WDR6,116430.48786789339
TRAFD1,115719.35092204013
SUN1,115681.08506828161
RPL18,113347.7344743209
HLA-C,113260.29465640502
WARS1,113106.59104889746
HNRNPM,112917.9189233525
LY6E,112858.22563667927
DEGS2,112721.383497601
RPL13A,112604.9050893333
SDHA,112483.52181045206
OVOL1,111928.55489180233
PSME1,110721.26731644646
HMGB2,110485.86941068718
RPS6KB1,110078.9460992714
SEMA3C,109767.59014667888
STUB1,109699.79284513273
SLCO4A1,109690.2039014121
RPL4,109656.298607029
OSER1,108026.62339206849
EIF4G1,107893.18763413663
LGALS3,107759.72162454041
SELENBP1,107683.87761267483
ELOB,106661.55430399306
PSMB1,106384.17322597842
CTSB,106236.46462892844
SLC38A2,105782.3879130043
MYADM,105523.0300466147
SYTL2,104559.46617363619
TANC2,104394.47551023187
SMTN,104290.3476959247
ID2,103585.5878364525
ECHS1,102997.10774677739
TRIM28,102959.85725807548
PDXK,102675.23810370044
H4C3,102590.82924828786
HNRNPK,102514.6400421036
MDH2,102391.19615053372
ST3GAL1,102203.473049636
EEF2,102151.01831777234
LYPD3,102036.13304990916
IFITM3,102032.65710223783
DYNC1H1,101810.6538761227
NEU1,101656.12290678448
MYO1B,101521.34595983756
AAMP,101474.21213073979
JAG1,100755.21392150733
FTSJ3,100360.41540333269
LSR,100289.4975325687
CIART,99981.6644840269
NOL3,99881.26273700326
CITED2,99757.31751261056
PARK7,99422.7064235233
ECE1,98702.61502604141
APEX1,98382.95673451533
TXNRD1,97994.18759312668
SCARB1,97807.24097439616
OAZ1,97403.45838174793
ZMYND8,97274.4527497164
RPLP1,96078.76022856195
RPL32,95935.45158776805
DDX41,95568.2351099749
RAP2B,94838.29241452852
CTNNB1,94566.11067215296
RNF10,93378.1786119503
TGFBI,92968.35343731614
LDOC1,92698.85500252906
ITGB4,92674.45250365676
RAB31,92620.4625374217
PLD3,92152.0482550272
TECR,91837.23355159727
SLC44A2,91801.89713340533
PRSS8,91193.09064563306
ZWINT,90896.03726436387
CXXC5,90681.18249422453
SREBF1,90234.41016773062
INSIG1,89903.53574016111
PHGDH,89822.93221057224
PCBP1,89366.37622517186
ATP9A,89231.5654313563
EIF5,89106.60549806563
KIF20A,87436.44346780004
N4BP3,87371.54370975905
IFI27,87368.54191899141
ITGB5,87000.59721405807
ARPC2,86859.42402908976
BRD2,86502.64576982491
AURKA,86349.36616406718
UQCRQ,86317.47114950854
ID1,86266.6751739505
ADIPOR1,85793.22670293767
TPX2,85712.21598567405
ELP2,85513.10233346549
H2AJ,85241.94589422176
UBA1,85153.7988325838
CALM1,85151.36951321214
APPBP2,85034.4414719834
CSRP1,84889.5296160103
MAGED1,84630.01366997944
PERP,84561.48141566319
NCL,84543.3786447582
GANAB,84462.32350006148
SEC61A1,83953.73511681003
SSR4,83635.56465216733
CD9,83598.9427637965
SNRPB,83332.97594083638
MKRN1,83305.91068035498
XRCC6,83249.52376525904
GLG1,83000.19431875656
GPX4,82967.88309433653
TUBA1A,82747.02222738638
CA12,82679.50003417484
H1-2,82039.35349199623
RAE1,81966.51083345867
P4HA2,81898.25372848692
FLOT1,81818.28228507382
ANAPC5,81695.55371618397
LOXL2,81612.92894344764
CDK5RAP3,81445.81578335816
DNAJA1,81397.44196410266
HSP90B1,81084.20856287502
SKP1,81028.39696253055
RHOBTB3,80981.7696061679
CALR,80660.01623993546
SAE1,80570.48324744032
GNB1,80520.43743933945
STMN1,80462.1561248343
USP11,80437.42214263255
CCDC47,80294.62333738877
BUB3,79902.02526212185
SNX22,79901.06531516144
AP1G2,79764.87394912037
GPAA1,79647.84581630284
ATP6V0E1,79592.00318510523
MTHFD1,79373.00425136357
RDH11,79291.35759299
SLC38A1,79258.13425286733
LAMB2,78807.85154402415
PRDX5,78725.52078520363
COX7A2,78502.48335680012
ENO3,78453.55627247001
SRP14,78206.47679521002
RPL31,78133.0382896122
ACADVL,77856.32057468596
BAG1,77814.90724919004
PXN,77534.39510341334
SF3B1,77050.89485051874
LDLR,76644.5630527797
GUK1,76575.45254466672
OSR2,76203.73295695319
C7orf50,75437.28439025056
ISOC1,74940.11619482447
MTCH1,74859.1673205474
RPL18A,74813.92618211142
PRELID1,74764.94825912808
SNX32,74721.96894180692
HMGB1,74522.11439038735
P4HA1,74493.11239457029
NR2F2,74438.99000724504
SRF,74429.35895998804
HNRNPUL2-BSCL2,74193.27270241825
TPBG,73857.8468278813
CDK4,73208.58065971319
BLVRB,73142.89219854277
SMIM14,72899.20603392889
LAMP2,72388.23043484207
ATP1A1-AS1,72299.64192856065
GNB2,71857.90079695988
LPCAT1,71689.09683813377
PHPT1,71315.56481620713
RPL30,71283.87252744245
FDPS,71027.64846281084
HEATR6,70677.64088964222
GYS1,70651.05291649012
KYNU,70479.80004921195
PINK1,70391.88293029684
CCN5,70333.62251718984
RUVBL2,70330.3439913606
LRPAP1,69995.84018427136
FAM83D,69713.7591212941
COX8A,69321.92813691853
REEP5,69182.29383620629
TMED9,69173.85676595628
MTATP6P1,68967.6226402199
ASS1,68849.7365658278
EIF2AK1,68506.21102347135
NUP188,68427.9340013397
PRMT5,68310.3382226293
LSM4,68062.61926373484
AEN,67725.96747911912
EIF4A3,67347.66216013012
NACA,67288.05596489541
EEF1D,67226.1446557216
COPA,67216.73588232888
PSMB7,67060.24197230466
HSPA1B,66777.79430782054
AMOTL2,66724.09635968451
TBC1D9B,66675.18129126627
EIF4EBP1,66602.21716129206
FOSL2,66569.66913181958
GREB1,66368.87548015815
NFE2L2,66193.16312386372
BSCL2,66118.98559184177
PRMT6,65942.24943611334
RPS27,65871.07779585248
PRMT2,65856.76484901509
PTPRK,65795.845037114
NDUFA13,65649.12540839061
SND1,65596.10402854296
TNFRSF21,65550.31755362051
NUMA1,65499.753803671694
SEC31A,64952.51624677046
XRCC5,64893.288668954134
PIEZO1,64795.70373053737
PYGB,64780.51266523582
JAK1,64469.56451546759
CAV1,64466.463302940596
NEDD8,64292.87964950172
MKNK2,64196.81374653127
PSMC4,64139.40575232727
IST1,64092.01954807043
CST3,64062.789988107084
CAPN1,64062.630760187516
SRSF9,63805.74072150155
NDUFB9,63641.28758902576
HDGF,63601.93691304519
TRAP1,63349.1400899485
EIF3I,63108.195562724795
SLC25A25,62635.815222889076
PSMD8,62395.434472954024
RPS11,62183.29204543907
IFI6,62018.47857230733
IGF1R,61841.17738165214
VKORC1,61422.508263502496
B2M,61353.47155960792
IQGAP1,61243.72493267539
TPD52L2,61116.33752546033
MIR1282,60935.07981900951
IGFBP5,60838.0602435988
TMEM205,60811.53340259454
NINJ1,60745.955777616764
EGLN3,60593.10718630827
LSS,60419.7481169604
TPD52L1,60178.448635052606
SEMA4B,60170.120418848164
PTTG1IP,59992.870121526095
TBCB,59491.26471915021
TUBA1C,59263.26696102696
ARRDC1,59242.13776605199
HEXA,59041.608532801045
SPTBN1,59015.21911609914
HIGD1A,58907.1756729047
APLP2,58852.941560838226
ERGIC3,58627.50239908139
IER5,58606.9473022295
TCF25,58511.48065014427
CORO1C,58451.174702336175
RNPS1,58302.19837874045
FDFT1,58260.07935423011
RNH1,58138.37045644054
TOMM40,58033.69651278829
OS9,57823.10175932635
SIVA1,57810.88284827692
POLD2,57774.37115360954
RPS21,57633.954492638724
MCM4,57278.29955025768
PDIA3,57089.313438956706
SF3B2,56947.62333738867
SLC6A14,56533.72208931962
SPINT1,56371.553661503924
NRP1,56191.81407461072
TSEN34,56186.95934548144
BCKDK,56089.92071411976
HSPB8,56066.9498038359
C1QBP,55985.658510245645
MLF2,55844.87300589173
ADGRG1,55747.778450644495
RNF114,55622.25252552869
EZR,55105.82636392213
EVL,55094.680040463114
KRT86,54869.35715555062
ITPRID2,54557.09588123516
PADI2,54207.771301245164
SEM1,54176.440856834386
STX16-NPEPL1,54127.55999070438
FEN1,53997.78436974565
NPM1,53650.52351919942
HNRNPU,53521.79552444874
