,zero_rate,variance
VCP,0.05221932114882506,351456.89899252256
RPS18,0.0391644908616188,344509.85086052516
KDM3A,0.12010443864229765,340961.2977321502
ADM,0.6135770234986945,339404.87464628776
COPE,0.0391644908616188,336610.64962475904
NQO1,0.04960835509138381,330830.2232307629
KDM5B,0.05483028720626632,325480.2873019564
DDIT3,0.08616187989556136,323500.06619003974
TIMP3,0.34986945169712796,323102.96526458225
COTL1,0.13838120104438642,316984.61271581484
CEACAM5,0.8067885117493473,315405.8876737806
TKT,0.05221932114882506,314436.90637431096
H2AZ1,0.04699738903394256,312905.12387735286
EIF3B,0.05221932114882506,309864.8827662568
KLF6,0.0835509138381201,309675.0497723946
STARD10,0.0835509138381201,309177.84922012786
RPLP0,0.044386422976501305,306601.6855357947
TPM4,0.04177545691906005,306125.1810315364
POLR2A,0.04960835509138381,305354.0151873475
NME1,0.04699738903394256,302012.96418465424
PFKL,0.05483028720626632,301739.3635257612
AREG,0.46475195822454307,299843.8945497787
PABPC1,0.04177545691906005,298154.0338468691
PPP1CA,0.04177545691906005,297330.7420748294
CRIP2,0.05483028720626632,294532.5650212572
PSMB5,0.044386422976501305,294205.6263994645
WDR1,0.04699738903394256,291933.9578554537
NELFCD,0.04699738903394256,288171.59292168485
AHNAK,0.06788511749347259,286007.14183970564
TNFRSF12A,0.05221932114882506,283026.4370292405
HSPA6,0.8093994778067886,282281.1173431043
PPM1D,0.05483028720626632,281022.7185624648
FXYD3,0.057441253263707574,280966.891405684
MYBL2,0.36553524804177545,279769.1413202457
ERRFI1,0.24281984334203655,279657.333041707
PHB,0.04960835509138381,279146.8832583762
RAN,0.04699738903394256,277637.59504053136
SLC25A39,0.06527415143603134,275184.3872705152
RPS14,0.0391644908616188,274531.6909080967
CTNNA1,0.0391644908616188,274103.3398903667
EWSR1,0.044386422976501305,273774.3609421348
KLF10,0.08616187989556136,271577.8481538694
PLK1,0.5796344647519582,271155.18689595873
ID3,0.05221932114882506,270063.2420816648
PSMD4,0.044386422976501305,267430.1582983609
CYC1,0.04699738903394256,264364.7729963228
TRIM16,0.10966057441253264,264023.3520703181
HSPA1A,0.09399477806788512,259664.4018700532
LMAN2,0.04177545691906005,259632.09496534654
EIF4A1,0.0391644908616188,257287.9467827702
ZYX,0.07049608355091384,257152.0715350019
UQCRC1,0.057441253263707574,254238.57736524823
TMEM64,0.08093994778067885,254089.35708720077
ELAPOR1,0.3133159268929504,253685.79179254474
HDLBP,0.04177545691906005,253674.04553470144
HNRNPA2B1,0.05221932114882506,253666.33464109473
DAZAP2,0.044386422976501305,251990.26232690387
SLC25A1,0.05221932114882506,251231.46708952473
SENP3-EIF4A1,0.0391644908616188,250680.16376635293
TK1,0.3577023498694517,250529.27961942647
DSCAM-AS1,0.11488250652741515,249749.31743059063
MT-ND4L,0.06005221932114883,248075.45605785144
SNRNP200,0.05483028720626632,247118.85423701024
CLK3,0.04177545691906005,246461.3285716237
RPL3,0.0391644908616188,246077.04918458578
TGIF1,0.09660574412532637,246059.82390332597
CERS2,0.04960835509138381,245929.9677115087
HSPA9,0.04960835509138381,245738.2506117316
PPIA,0.04960835509138381,245587.81538692865
NHP2,0.04699738903394256,243891.7979440352
PFKFB4,0.3133159268929504,242589.40959359182
PTP4A1,0.06527415143603134,240509.5064590654
AKT1,0.04960835509138381,239108.59591541035
TUFT1,0.09399477806788512,237302.60310581938
ERO1A,0.07049608355091384,235494.85624649693
RPS5,0.04177545691906005,232786.96139597832
IER2,0.04960835509138381,232644.64526403567
TFRC,0.06005221932114883,231721.94331059547
